transaction_id,transaction_datetime,from_account,to_account,transaction_type,amount,status,channel,remarks
TXN00001,2026-01-01 09:10:00,A1026,A1002,UPI,1000,SUCCESS,Branch,Daily transfer
TXN00002,2026-01-01 09:20:00,A1020,A1097,RTGS,1500,SUCCESS,Branch,Daily transfer
TXN00003,2026-01-01 09:30:00,A1024,A1043,UPI,1500,SUCCESS,ATM,Daily transfer
TXN00004,2026-01-01 09:40:00,A1047,A1030,RTGS,2000,SUCCESS,Mobile App,Daily transfer
TXN00005,2026-01-01 09:50:00,A1023,A1045,RTGS,750,SUCCESS,Internet Banking,Daily transfer
TXN00006,2026-01-01 10:00:00,A1036,A1025,RTGS,1500,SUCCESS,Mobile App,Daily transfer
TXN00007,2026-01-01 10:10:00,A1032,A1089,UPI,750,SUCCESS,Mobile App,Daily transfer
TXN00008,2026-01-01 10:20:00,A1050,A1041,UPI,2000,SUCCESS,Internet Banking,Daily transfer
TXN00009,2026-01-01 10:30:00,A1062,A1055,RTGS,1500,SUCCESS,Mobile App,Daily transfer
TXN00010,2026-01-01 10:40:00,A1024,A1100,IMPS,750,SUCCESS,ATM,Daily transfer
TXN00011,2026-01-01 10:50:00,A1073,A1036,RTGS,2000,SUCCESS,Internet Banking,Daily transfer
TXN00012,2026-01-01 11:00:00,A1084,A1005,NEFT,500,SUCCESS,Mobile App,Daily transfer
TXN00013,2026-01-01 11:10:00,A1010,A1077,UPI,5000,SUCCESS,Internet Banking,Daily transfer
TXN00014,2026-01-01 11:20:00,A1091,A1006,UPI,750,SUCCESS,Internet Banking,Daily transfer
TXN00015,2026-01-01 11:30:00,A1029,A1013,RTGS,750,SUCCESS,Branch,Daily transfer
TXN00016,2026-01-01 11:40:00,A1013,A1011,RTGS,2000,SUCCESS,Branch,Daily transfer
TXN00017,2026-01-01 11:50:00,A1070,A1056,NEFT,250,SUCCESS,ATM,Daily transfer
TXN00018,2026-01-01 12:00:00,A1091,A1041,IMPS,2000,SUCCESS,Mobile App,Daily transfer
TXN00019,2026-01-01 12:10:00,A1026,A1002,NEFT,1000,SUCCESS,ATM,Daily transfer
TXN00020,2026-01-01 12:20:00,A1094,A1059,NEFT,1000,SUCCESS,Branch,Daily transfer
TXN00021,2026-01-01 12:30:00,A1074,A1083,RTGS,1000,SUCCESS,Branch,Daily transfer
TXN00022,2026-01-01 12:40:00,A1032,A1041,RTGS,1500,SUCCESS,Branch,Daily transfer
TXN00023,2026-01-01 12:50:00,A1098,A1006,UPI,2000,SUCCESS,Internet Banking,Daily transfer
TXN00024,2026-01-01 13:00:00,A1057,A1084,NEFT,750,SUCCESS,Branch,Daily transfer
TXN00025,2026-01-01 13:10:00,A1047,A1031,UPI,1500,SUCCESS,ATM,Daily transfer
TXN00026,2026-01-01 13:20:00,A1012,A1040,RTGS,1500,SUCCESS,Branch,Daily transfer
TXN00027,2026-01-01 13:30:00,A1066,A1027,UPI,5000,SUCCESS,Mobile App,Daily transfer
TXN00028,2026-01-01 13:40:00,A1078,A1070,IMPS,2000,SUCCESS,ATM,Daily transfer
TXN00029,2026-01-01 13:50:00,A1050,A1013,RTGS,1000,SUCCESS,Mobile App,Daily transfer
TXN00030,2026-01-01 14:00:00,A1064,A1091,NEFT,5000,SUCCESS,Internet Banking,Daily transfer
TXN00031,2026-01-01 14:10:00,A1033,A1084,NEFT,2000,SUCCESS,Branch,Daily transfer
TXN00032,2026-01-01 14:20:00,A1008,A1054,NEFT,1500,SUCCESS,Mobile App,Daily transfer
TXN00033,2026-01-01 14:30:00,A1029,A1079,RTGS,2000,SUCCESS,ATM,Daily transfer
TXN00034,2026-01-01 14:40:00,A1075,A1040,IMPS,1000,SUCCESS,Internet Banking,Daily transfer
TXN00035,2026-01-01 14:50:00,A1098,A1041,IMPS,5000,SUCCESS,ATM,Daily transfer
TXN00036,2026-01-01 15:00:00,A1055,A1052,UPI,250,SUCCESS,Internet Banking,Daily transfer
TXN00037,2026-01-01 15:10:00,A1070,A1039,IMPS,5000,SUCCESS,Mobile App,Daily transfer
TXN00038,2026-01-01 15:20:00,A1058,A1012,RTGS,2000,SUCCESS,Branch,Daily transfer
TXN00039,2026-01-01 15:30:00,A1057,A1054,NEFT,750,SUCCESS,Branch,Daily transfer
TXN00040,2026-01-01 15:40:00,A1071,A1013,NEFT,1500,SUCCESS,ATM,Daily transfer
TXN00041,2026-01-01 15:50:00,A1022,A1040,UPI,1500,SUCCESS,Mobile App,Daily transfer
TXN00042,2026-01-01 16:00:00,A1083,A1024,NEFT,5000,SUCCESS,Mobile App,Daily transfer
TXN00043,2026-01-01 16:10:00,A1060,A1040,RTGS,750,SUCCESS,ATM,Daily transfer
TXN00044,2026-01-01 16:20:00,A1073,A1021,UPI,5000,SUCCESS,Mobile App,Daily transfer
TXN00045,2026-01-01 16:30:00,A1037,A1072,UPI,1500,SUCCESS,Internet Banking,Daily transfer
TXN00046,2026-01-01 16:40:00,A1096,A1038,IMPS,750,SUCCESS,ATM,Daily transfer
TXN00047,2026-01-01 16:50:00,A1044,A1034,UPI,750,SUCCESS,Branch,Daily transfer
TXN00048,2026-01-01 17:00:00,A1073,A1028,NEFT,2000,SUCCESS,Mobile App,Daily transfer
TXN00049,2026-01-01 17:10:00,A1009,A1079,NEFT,1000,SUCCESS,Mobile App,Daily transfer
TXN00050,2026-01-01 17:20:00,A1073,A1001,UPI,5000,SUCCESS,Internet Banking,Daily transfer
TXN00051,2026-01-01 17:30:00,A1030,A1058,RTGS,5000,SUCCESS,ATM,Daily transfer
TXN00052,2026-01-01 17:40:00,A1068,A1037,NEFT,500,SUCCESS,ATM,Daily transfer
TXN00053,2026-01-01 17:50:00,A1064,A1074,UPI,2000,SUCCESS,ATM,Daily transfer
TXN00054,2026-01-01 18:00:00,A1038,A1003,IMPS,1500,SUCCESS,Internet Banking,Daily transfer
TXN00055,2026-01-01 18:10:00,A1082,A1008,RTGS,1000,SUCCESS,Mobile App,Daily transfer
TXN00056,2026-01-01 18:20:00,A1095,A1069,IMPS,750,SUCCESS,ATM,Daily transfer
TXN00057,2026-01-01 18:30:00,A1021,A1090,IMPS,250,SUCCESS,Internet Banking,Daily transfer
TXN00058,2026-01-01 18:40:00,A1091,A1061,RTGS,500,SUCCESS,Branch,Daily transfer
